"INGM-OP","Ingeniería Marítima","Operaciones"
"INGM-IM","Ingeniería Marítima","Instalaciones Marinas"
"TUR","Licenciatura en Turismo",\N
"ADM-CI","Licenciatura en Administración","Comercio Internacional"
"ADM-TR","Licenciatura en Administración","Transporte"
"INGAMB","Ingeniería Ambiental",\N
"INGINF-RT","Ingeniería Informática","Redes y Telecomunicaciones"
"INGINF-GD","Ingeniería Informática","Gestión de Datos"
"INGINF-SI","Ingeniería Informática","Seguridad Informática"
"INGINF-AP","Ingeniería Informática","Automatización de Procesos"
